Configuration,Run,Fitness,Evaluations,Runtime
HC_Valid_Initial,25,0.10690449676496672,13391,1.6446828842163086
HC_Valid_Initial,7,0.05714285714285552,13640,1.6542186737060547
HC_Valid_Initial,6,0.05714285714285552,13633,1.655500888824463
HC_Valid_Initial,23,0.05714285714285552,13743,1.6513750553131104
HC_Valid_Initial,24,0.05714285714285552,13616,1.6535472869873047
HC_Valid_Initial,14,0.05714285714285552,13646,1.6567480564117432
HC_Valid_Initial,15,0.05714285714285552,13390,1.6571605205535889
HC_Valid_Initial,30,0.05714285714285552,13521,1.6546499729156494
HC_Valid_Initial,3,0.05714285714285552,13642,1.6607565879821777
HC_Valid_Initial,13,0.10690449676496672,13636,1.6597263813018799
HC_Valid_Initial,28,0.05714285714285552,13636,1.6566824913024902
HC_Valid_Initial,27,0.05714285714285552,13646,1.6683056354522705
HC_Valid_Initial,17,0.05714285714285552,13641,1.6716909408569336
HC_Valid_Initial,21,0.05714285714285552,13622,1.676579475402832
HC_Valid_Initial,2,0.05714285714285552,13614,1.6956844329833984
SA_Standard,1,inf,6561,3.3768365383148193
SA_Standard,2,inf,6561,3.609795570373535
SA_Standard,5,inf,6561,3.3219876289367676
SA_Standard,4,inf,6561,3.4642350673675537
SA_Standard,7,inf,6561,3.5121185779571533
SA_Standard,3,inf,6561,3.5611066818237305
SA_Standard,15,inf,6561,3.4880168437957764
SA_Standard,8,inf,6561,3.5543081760406494
SA_Standard,21,inf,6561,3.5233423709869385
SA_Standard,9,inf,6561,3.6115126609802246
SA_Standard,10,inf,6561,3.656813144683838
SA_Standard,11,inf,6561,3.68609881401062
SA_Standard,26,inf,6561,3.6482880115509033
SA_Standard,12,inf,6561,3.70919132232666
SA_Standard,19,inf,6561,3.687049388885498
SA_Standard,30,inf,6561,3.674502372741699
SA_Standard,23,inf,6561,3.711216926574707
SA_Standard,25,inf,6561,3.7233331203460693
SA_Standard,20,inf,6561,3.729174852371216
SA_Standard,28,inf,6561,3.7305290699005127
SA_Standard,17,inf,6561,3.771202802658081
SA_Standard,24,inf,6561,3.7647173404693604
SA_Standard,29,inf,6561,3.7738263607025146
SA_Standard,13,inf,6561,3.9020652770996094
SA_Standard,6,inf,6561,4.045549392700195
SA_Standard,14,inf,6561,4.069112539291382
SA_Standard,18,inf,6561,4.079505920410156
SA_Standard,27,inf,6561,4.318424701690674
SA_Standard,16,inf,6561,4.657939195632935
SA_Standard,22,inf,6561,5.011182546615601
GA_Tournament_OnePoint,20,0.05714285714285552,39865,44.061057806015015
GA_Tournament_OnePoint,23,0.10690449676496672,39947,50.63293933868408
GA_Tournament_OnePoint,16,0.10690449676496672,40025,51.31667923927307
GA_Tournament_OnePoint,22,0.05714285714285552,40031,51.709386110305786
GA_Tournament_OnePoint,15,0.05714285714285552,40151,51.92960524559021
GA_Tournament_OnePoint,1,0.05714285714285552,39815,55.87861084938049
GA_Tournament_OnePoint,30,0.05714285714285552,39893,52.01867413520813
GA_Tournament_OnePoint,3,0.05714285714285552,39965,55.49230718612671
GA_Tournament_OnePoint,9,0.05714285714285552,39817,54.02973699569702
GA_Tournament_OnePoint,4,0.05714285714285552,40005,56.08202934265137
GA_Tournament_OnePoint,11,0.05714285714285552,39827,54.53482365608215
GA_Tournament_OnePoint,13,0.05714285714285552,39881,55.40471792221069
GA_Tournament_OnePoint,18,0.05714285714285552,39961,55.71379828453064
GA_Tournament_OnePoint,2,0.05714285714285552,39879,59.700803995132446
GA_Tournament_OnePoint,10,0.05714285714285552,40155,56.373857498168945
GA_Tournament_OnePoint,5,0.05714285714285552,39889,57.96167874336243
GA_Tournament_OnePoint,26,0.05714285714285552,39869,58.305607080459595
GA_Tournament_OnePoint,24,0.05714285714285552,39899,59.351940870285034
GA_Tournament_OnePoint,6,0.05714285714285552,39895,60.20928621292114
GA_Tournament_OnePoint,7,0.05714285714285552,40019,60.75030159950256
